3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
E140043,E2014-0034,E2014-0034,WLE2,21-Jul-14,9:55 AM,10:10 AM,DepthINT,4.8,LA,,8.375,C,0.0,S,hazy,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140049,E2014-0035,E2014-0035,WLE6,21-Jul-14,10:25 AM,10:35 AM,DepthINT,2.8,LA,,9.072,C,0.0,S,"hazy, scummy",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140045,E2014-0036,E2014-0036,WLE12,21-Jul-14,11:15 AM,,DepthINT,6.0,LA,,8.794,C,0.0,S,hazy,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140046,E2014-0037,E2014-0037,WLE13,21-Jul-14,11:45 AM,11:55 AM,DepthINT,8.2,LA,,8.423,C,0.0,S,"hazy, much less scum",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140047,E2014-0038,E2014-0038,WLE4,21-Jul-14,12:30 PM,12:45 PM,DepthINT,6.3,LA,,8.445,C,0.0,S,hazy,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140048,E2014-0039,E2014-0039,WLE8,21-Jul-14,1:05 PM,1:15 PM,DepthINT,4.2,LA,,8.343,C,0.0,S,"hazy, big chunks, egg drop soup",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140050/161,E2014-0040,E2014-0040,WLE2,29-Jul-14,9:51 AM,10:07 AM,DepthINT,4.8,LA,,8.499,C,5 - 10,N,V-SYBR sample left in dewar for several days not cold- use TEM instead?,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140051,E2014-0041,E2014-0041,WLE6,29-Jul-14,10:24 AM,10:34 AM,DepthINT,2.4,LA,,9.203,C,5 - 10,N,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140052,E2014-0042,E2014-0042,WLE12,29-Jul-14,11:02 AM,11:11 AM,DepthINT,5.9,LA,,8.585,C,5 - 10,N,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,E2014-0043,E2014-0043,WLE13,29-Jul-14,11:29 AM,11:39 AM,DepthINT,8.2,LA,,8.360,C,5 - 10,S,Stream 2's WLE13 sample was accidently dumped - why no filtered samples,,,X,,,,,,,,,,,,,X,X,,,,,,,,
E140053/73,E2014-0044,E2014-0044,WLE4,29-Jul-14,12:25 PM,12:36 PM,DepthINT,8.1,LA,,8.526,C,5 - 10,N,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140054,E2014-0045,E2014-0045,WLE8,29-Jul-14,1:09 PM,1:19 PM,DepthINT,4.1,LA,,9.081,C,10.0,S,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140055,E2014-0046,E2014-0046,WLE2,4-Aug-14,11:00 AM,11:15 AM,DepthINT,4.9,LA,,9.195,C,<5,S,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140056,E2014-0047,E2014-0047,WLE6,4-Aug-14,11:35 AM,11:45 AM,DepthINT,2.6,LA,,9.657,C,<5,S,thick microcystis,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140057,E2014-0048,E2014-0048,WLE12,4-Aug-14,12:50 PM,1:00 PM,DepthINT,6.0,LA,,9.290,C,<5,S,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
