3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
,E2014-2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
