SampleID	Samplenum	Date	Date_year	Days	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla	Bloom	LogPhyco	LogChla	LogParMC
E0030_22NA	E0030	7/14	7/14/14	48	WE12	22NA	E140042	8.32	sample	n	11:17	11:32	partly sunny	6.1	1.5	24.6	3.7	0.00001		0.73	7.74	a	-0.454031631	2.952333566	
E0030_CNA	E0030	7/14	7/14/14	48	WE12	CNA	E140042	8.32	sample	n	11:17	11:32	partly sunny	6.1	1.5	24.6	3.7	0.00001		0.73	7.74	a	-0.454031631	2.952333566	
E0032_100LTR	E0032	7/14	7/14/14	48	WE4	100L	E140040	8.43	sample	n	12:30	12:49	partly cloudy	8.2	3.5	24.2	1.07	0.17		0.71	3.96	a	-0.49410907	1.98550043	-2.556393349
E0032_22NA	E0032	7/14	7/14/14	48	WE4	22NA	E140040	8.43	sample	n	12:30	12:49	partly cloudy	8.2	3.5	24.2	1.07	0.17		0.71	3.96	a	-0.49410907	1.98550043	-2.556393349
E0032_CNA	E0032	7/14	7/14/14	48	WE4	CNA	E140040	8.43	sample	n	12:30	12:49	partly cloudy	8.2	3.5	24.2	1.07	0.17		0.71	3.96	a	-0.49410907	1.98550043	-2.556393349
E0034_100LTR	E0034	7/21	7/21/14	55	WE2	100L	E140043	8.375	sample	n	9:41	10:02	sunny but foggy	4.8	2	23.5	7.21	4.94		5.13	16.26	b	2.358958826	4.023255352	2.304511042
E0034_22NA	E0034	7/21	7/21/14	55	WE2	22NA	E140043	8.375	sample	n	9:41	10:02	sunny but foggy	4.8	2	23.5	7.21	4.94		5.13	16.26	b	2.358958826	4.023255352	2.304511042
E0034_CNA	E0034	7/21	7/21/14	55	WE2	CNA	E140043	8.375	sample	n	9:41	10:02	sunny but foggy	4.8	2	23.5	7.21	4.94		5.13	16.26	b	2.358958826	4.023255352	2.304511042
E0036_100LTR	E0036	7/21	7/21/14	55	WE12	100L	E140045	8.794	sample	n	11:03	11:20	sunny	6	1.2	23.9	5.58	6.14		5.59	18.62	b	2.482848283	4.218781168	2.618238656
E0036_22NA	E0036	7/21	7/21/14	55	WE12	22NA	E140045	8.794	sample	n	11:03	11:20	sunny	6	1.2	23.9	5.58	6.14		5.59	18.62	b	2.482848283	4.218781168	2.618238656
E0036_CNA	E0036	7/21	7/21/14	55	WE12	CNA	E140045	8.794	sample	n	11:03	11:20	sunny	6	1.2	23.9	5.58	6.14		5.59	18.62	b	2.482848283	4.218781168	2.618238656
E0038_100LTR	E0038	7/21	7/21/14	55	WE4	100L	E140047	8.445	sample	n	12:15		sunny	6.3	n/a	24.1	1.57	1.82		6.14	5.95	b	2.618238656	2.572889668	0.86393845
E0038_CNA	E0038	7/21	7/21/14	55	WE4	CNA	E140047	8.445	sample	n	12:15		sunny	6.3	n/a	24.1	1.57	1.82		6.14	5.95	b	2.618238656	2.572889668	0.86393845
E0040_100LTR	E0040	7/29	7/29/14	63	WE2	100L	E140050/161	8.499	sample	n	9:42	10:00	sunny	4.8	2	22.2	3.52	3.98		8.81	10.02	b	3.139142019	3.324810603	1.992768431
E0040_22NA	E0040	7/29	7/29/14	63	WE2	22NA	E140050/161	8.499	sample	n	9:42	10:00	sunny	4.8	2	22.2	3.52	3.98		8.81	10.02	b	3.139142019	3.324810603	1.992768431
E0040_CNA	E0040	7/29	7/29/14	63	WE2	CNA	E140050/161	8.499	sample	n	9:42	10:00	sunny	4.8	2	22.2	3.52	3.98		8.81	10.02	b	3.139142019	3.324810603	1.992768431
E0042_100LTR	E0042	7/29	7/29/14	63	WE12	100L	E140052	8.585	sample	n	10:53	11:08	sunny	5.9	0.6	22.2	15.5	6.93		27.74	33.15	b	4.793895883	5.050936965	2.792855352
E0042_22NA	E0042	7/29	7/29/14	63	WE12	22NA	E140052	8.585	sample	n	10:53	11:08	sunny	5.9	0.6	22.2	15.5	6.93		27.74	33.15	b	4.793895883	5.050936965	2.792855352
E0042_CNA	E0042	7/29	7/29/14	63	WE12	CNA	E140052	8.585	sample	n	10:53	11:08	sunny	5.9	0.6	22.2	15.5	6.93		27.74	33.15	b	4.793895883	5.050936965	2.792855352
E0044_100LTR	E0044	7/29	7/29/14	63	WE4	100L	E140053/73	8.526	sample	n	12:17	12:33	sunny	8.1	n/a	22.6	2.45	1.01		4.77	6.12	b	2.253989266	2.613531653	0.014355293
E0044_22NA	E0044	7/29	7/29/14	63	WE4	22NA	E140053/73	8.526	sample	n	12:17	12:33	sunny	8.1	n/a	22.6	2.45	1.01		4.77	6.12	b	2.253989266	2.613531653	0.014355293
E0044_CNA	E0044	7/29	7/29/14	63	WE4	CNA	E140053/73	8.526	sample	n	12:17	12:33	sunny	8.1	n/a	22.6	2.45	1.01		4.77	6.12	b	2.253989266	2.613531653	0.014355293
E0046_100LTR	E0046	8/4	8/4/14	69	WE2	100L	E140055	9.195	sample	n	10:46	11:15	sunny	4.9	1	23.1	8.99	4.33		39.01	29.44	b	5.285772093	4.879705766	2.114367025
E0046_22NA	E0046	8/4	8/4/14	69	WE2	22NA	E140055	9.195	sample	n	10:46	11:15	sunny	4.9	1	23.1	8.99	4.33		39.01	29.44	b	5.285772093	4.879705766	2.114367025
E0046_CNA	E0046	8/4	8/4/14	69	WE2	CNA	E140055	9.195	sample	n	10:46	11:15	sunny	4.9	1	23.1	8.99	4.33		39.01	29.44	b	5.285772093	4.879705766	2.114367025
E0048_100LTR	E0048	8/4	8/4/14	69	WE12	100L	E140057	9.29	sample	n	12:48	13:17	hazy	6	0.6	24.6	17.7	9.28		45.43	54.46	b	5.5055734	5.767125077	3.214124805
E0048_22NA	E0048	8/4	8/4/14	69	WE12	22NA	E140057	9.29	sample	n	12:48	13:17	hazy	6	0.6	24.6	17.7	9.28		45.43	54.46	b	5.5055734	5.767125077	3.214124805
E0048_CNA	E0048	8/4	8/4/14	69	WE12	CNA	E140057	9.29	sample	n	12:48	13:17	hazy	6	0.6	24.6	17.7	9.28		45.43	54.46	b	5.5055734	5.767125077	3.214124805
E0050_100LTR	E0050	8/4	8/4/14	69	WE4	100L	E140059	9.128	sample	n	14:45	15:04	partly cloudy	8	1.6	24.6	3.56	1.54		15.38	18.11	b	3.942983598	4.178714641	0.622930351
E0050_22NA	E0050	8/4	8/4/14	69	WE4	22NA	E140059	9.128	sample	n	14:45	15:04	partly cloudy	8	1.6	24.6	3.56	1.54		15.38	18.11	b	3.942983598	4.178714641	0.622930351
E0050_CNA	E0050	8/4	8/4/14	69	WE4	CNA	E140059	9.128	sample	n	14:45	15:04	partly cloudy	8	1.6	24.6	3.56	1.54		15.38	18.11	b	3.942983598	4.178714641	0.622930351
E0052_100LTR	E0052	8/11	8/11/14	76	WE2	100L	E140061	9.168	nopump	n	11:34	11:47	rainy	5.1	0.2	23.8	41.9	29.3		268.78	71.96	b	8.070281981	6.169123281	4.87282876
E0052_22NA	E0052	8/11	8/11/14	76	WE2	22NA	E140061	9.168	nopump	n	11:34	11:47	rainy	5.1	0.2	23.8	41.9	29.3		268.78	71.96	b	8.070281981	6.169123281	4.87282876
E0052_CNA	E0052	8/11	8/11/14	76	WE2	CNA	E140061	9.168	nopump	n	11:34	11:47	rainy	5.1	0.2	23.8	41.9	29.3		268.78	71.96	b	8.070281981	6.169123281	4.87282876
E0054_100LTR	E0054	8/11	8/11/14	76	WE12	100L	E140063	8.613	nopump	n	12:31	12:40	cloudy	6.1	0.6	23.8	11	2.9		16.97	11.58	b	4.08491466	3.533563348	1.5360529
E0054_22NA	E0054	8/11	8/11/14	76	WE12	22NA	E140063	8.613	nopump	n	12:31	12:40	cloudy	6.1	0.6	23.8	11	2.9		16.97	11.58	b	4.08491466	3.533563348	1.5360529
E0054_CNA	E0054	8/11	8/11/14	76	WE12	CNA	E140063	8.613	nopump	n	12:31	12:40	cloudy	6.1	0.6	23.8	11	2.9		16.97	11.58	b	4.08491466	3.533563348	1.5360529
E0056_100LTR	E0056	8/11	8/11/14	76	WE4	100L	E140065	9.019	nopump	n	13:30	13:38	rainy	8.1	0.8	23.5	12	11.4		52.11	30.23	b	5.70348835	4.917909074	3.510961919
E0056_22NA	E0056	8/11	8/11/14	76	WE4	22NA	E140065	9.019	nopump	n	13:30	13:38	rainy	8.1	0.8	23.5	12	11.4		52.11	30.23	b	5.70348835	4.917909074	3.510961919
E0056_CNA	E0056	8/11	8/11/14	76	WE4	CNA	E140065	9.019	nopump	n	13:30	13:38	rainy	8.1	0.8	23.5	12	11.4		52.11	30.23	b	5.70348835	4.917909074	3.510961919
E0058_100LTR	E0058	8/18	8/18/14	83	WE2	100L	E140067	9.032	sample	n	9:38	10:05	Cloudy	4.7	0.6	21.9	22.5	4.71		23.89	39.39	b	4.578334949	5.299757512	2.23572706
E0058_22NA	E0058	8/18	8/18/14	83	WE2	22NA	E140067	9.032	sample	n	9:38	10:05	Cloudy	4.7	0.6	21.9	22.5	4.71		23.89	39.39	b	4.578334949	5.299757512	2.23572706
E0058_CNA	E0058	8/18	8/18/14	83	WE2	CNA	E140067	9.032	sample	n	9:38	10:05	Cloudy	4.7	0.6	21.9	22.5	4.71		23.89	39.39	b	4.578334949	5.299757512	2.23572706
E0060_100LTR	E0060	8/18	8/18/14	83	WE12	100L	E140069	9.033	sample	n	11:02	11:28	Partly Sunny	6	0.5	22	31.6	3.39		15.78	33.35	b	3.9800253	5.059614856	1.761285273
E0060_22NA	E0060	8/18	8/18/14	83	WE12	22NA	E140069	9.033	sample	n	11:02	11:28	Partly Sunny	6	0.5	22	31.6	3.39		15.78	33.35	b	3.9800253	5.059614856	1.761285273
E0060_CNA	E0060	8/18	8/18/14	83	WE12	CNA	E140069	9.033	sample	n	11:02	11:28	Partly Sunny	6	0.5	22	31.6	3.39		15.78	33.35	b	3.9800253	5.059614856	1.761285273
E0062_100LTR	E0062	8/18	8/18/14	83	WE4	100L	E140071/76/166	8.55	sample	n	12:31	12:52	Partly Sunny	8	2.1	21.6	1.49	0.21		1.08	5.86	c	0.111031312	2.550900665	-2.251538767
E0062_22NA	E0062	8/18	8/18/14	83	WE4	22NA	E140071/76/166	8.55	sample	n	12:31	12:52	Partly Sunny	8	2.1	21.6	1.49	0.21		1.08	5.86	c	0.111031312	2.550900665	-2.251538767
E0062_CNA	E0062	8/18	8/18/14	83	WE4	CNA	E140071/76/166	8.55	sample	n	12:31	12:52	Partly Sunny	8	2.1	21.6	1.49	0.21		1.08	5.86	c	0.111031312	2.550900665	-2.251538767
E0064_100LTR	E0064	8/25	8/25/14	90	WE2	100L	E140077	9.02	sample	n	9:50	10:06	Cloudy	4.8	0.6	24.1	22.4	2.7		18.81	27.1	b	4.233427944	4.760220946	1.432959407
E0064_22NA	E0064	8/25	8/25/14	90	WE2	22NA	E140077	9.02	sample	n	9:50	10:06	Cloudy	4.8	0.6	24.1	22.4	2.7		18.81	27.1	b	4.233427944	4.760220946	1.432959407
E0064_CNA	E0064	8/25	8/25/14	90	WE2	CNA	E140077	9.02	sample	n	9:50	10:06	Cloudy	4.8	0.6	24.1	22.4	2.7		18.81	27.1	b	4.233427944	4.760220946	1.432959407
E0066_100LTR	E0066	8/25	8/25/14	90	WE12	100L	E140079	9.294	sample	n	11:05	11:28	sunny	6	0.3	25	31.6	3.1		45.72	38.28	b	5.514753498	5.258518925	1.632268215
E0066_22NA	E0066	8/25	8/25/14	90	WE12	22NA	E140079	9.294	sample	n	11:05	11:28	sunny	6	0.3	25	31.6	3.1		45.72	38.28	b	5.514753498	5.258518925	1.632268215
E0066_CNA	E0066	8/25	8/25/14	90	WE12	CNA	E140079	9.294	sample	n	11:05	11:28	sunny	6	0.3	25	31.6	3.1		45.72	38.28	b	5.514753498	5.258518925	1.632268215
